image_url,diseases_name,website_link,search_letter
https://dermnetnz.org/assets/Uploads/gen-pustular-psoriasis-03__FocusFillWzE1MCwxMTAsInkiLDFd.JPG,Generalised pustular psoriasis images,https://dermnetnz.org/topics/generalised-pustular-psoriasis-images/?stage=Live,G
https://dermnetnz.org/assets/Uploads/genital-crohn-1-s__FocusFillWzE1MCwxMTAsInkiLDM5XQ.jpg,Genital Crohn disease images,https://dermnetnz.org/topics/genital-crohn-disease-images/?stage=Live,G
https://dermnetnz.org/assets/Uploads/hsbuttock2-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Genital herpes images,https://dermnetnz.org/topics/genital-herpes-images/?stage=Live,G
https://dermnetnz.org/assets/Uploads/2381-s3__FocusFillWzE1MCwxMTAsInkiLDEwXQ.jpg,Genital lichen planus images,https://dermnetnz.org/images/genital-lichen-planus-images/?stage=Live,G
https://dermnetnz.org/assets/Uploads/genital-psoriasis-09-s2__FocusFillWzE1MCwxMTAsInkiLDEyXQ.jpg,Genital psoriasis images,https://dermnetnz.org/topics/genital-psoriasis-images/?stage=Live,G
https://dermnetnz.org/assets/Uploads/gw2-small2__FocusFillWzE1MCwxMTAsInkiLDE1XQ.jpg,Genital wart images,https://dermnetnz.org/images/genital-wart-images/?stage=Live,G
https://dermnetnz.org/assets/Uploads/2509__FocusFillWzE1MCwxMTAsIngiLDdd.jpg,Gougerot Blum images,https://dermnetnz.org/topics/capillaritis-images/?stage=Live,G
https://dermnetnz.org/assets/Uploads/gout6-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Gouty tophus images,https://dermnetnz.org/topics/gouty-tophi-images/?stage=Live,G
https://dermnetnz.org/assets/Uploads/granular-parakeratosis-8__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Granular parakeratosis images,https://dermnetnz.org/topics/granular-parakeratosis-images/?stage=Live,G
https://dermnetnz.org/assets/Uploads/ga12-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Granuloma annulare images,https://dermnetnz.org/topics/granuloma-annulare-images/?stage=Live,G
https://dermnetnz.org/assets/Uploads/scaly/grovers-disease/2729__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Grover disease,https://dermnetnz.org/topics/transient-acantholytic-dermatosis-images/?stage=Live,G
https://dermnetnz.org/assets/Uploads/2756__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,Guttate psoriasis images,https://dermnetnz.org/topics/guttate-psoriasis-images/?stage=Live,G
https://dermnetnz.org/assets/Uploads/woolly-hair-naevus2-s2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,"Hair, scalp, nail and sweat images",https://dermnetnz.org/image-catalogue/hair-scalp-nail-and-sweat-images/?stage=Live,H
